Submitted Data,Passed Quality Assurance Check,Residents Total Admissions COVID-19,Residents Total Confirmed COVID-19,Residents Total All Deaths,Residents Total COVID-19 Deaths,Number of All Beds,Total Number of Occupied Beds,Able to Test or Obtain Resources to Test All Current Residents Within Next 7 Days,Able to Test or Obtain Resources to Test All Staff and/or Personnel Within Next 7 Days,COVID-19 Point-of-Care Tests Performed on Residents Since Last Report,COVID-19 Point-of-Care Tests Performed on Staff and/or Personnel Since Last Report,Staff Total Confirmed COVID-19,Staff Total COVID-19 Deaths,Shortage of Nursing Staff,Shortage of Clinical Staff,Shortage of Aides,Shortage of Other Staff,"Total Resident Confirmed COVID-19 Cases Per 1,000 Residents","Total Resident COVID-19 Deaths Per 1,000 Residents",Total Residents COVID-19 Deaths as a Percentage of Confirmed COVID-19 Cases,Number of Residents with New Influenza,Number of Residents with Acute Respiratory Illness Symptoms Excluding COVID-19 and/or Influenza,During Past Two Weeks Average Time to Receive COVID-19 Test Results from Non-Point-of-Care Tests,Number of Staff and/or Personnel with a New Positive COVID-19 Test Result,Number of Staff and/or Personnel with Acute Respiratory Illness Symptoms Excluding COVID-19 and/or Influenza,Alcohol-Based Hand Rub (ABHR) Available,N95 Respirator Strategy for Optimization,Face Masks Strategy for Optimization,Eye Protection Strategy for Optimization,Gowns Strategy for Optimization,Gloves Strategy for Optimization,
Y,Y,4,31,21,8,116,39,Y,Y,NA,NA,13,0,N,N,N,N,794.87,205.13,25.81,0,0,<1 DAY,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,22,3,30,5,60,48,N,Y,10,15,5,1,N,N,N,N,62.5,104.17,166.67,0,1,1-2 DAYS,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,0,56,34,19,163,48,Y,Y,6,23,54,1,Y,Y,Y,Y,1166.67,395.83,33.93,0,0,<1 DAY,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,34,7,26,0,60,35,Y,Y,NA,NA,15,0,N,N,N,N,200,0,0,0,0,NOTEST,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,1,75,17,7,180,87,Y,Y,162,196,57,0,N,N,N,N,862.07,80.46,9.33,0,0,NOTEST,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,78,46,1,0,91,48,Y,Y,0,0,69,0,Y,N,Y,N,958.33,0,0,0,0,1-2 DAYS,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,10,96,38,21,200,122,Y,Y,0,125,60,0,N,N,N,N,786.89,172.13,21.88,0,0,NOTEST,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,0,111,43,12,223,111,Y,Y,6,41,83,0,N,N,N,N,1000,108.11,10.81,0,0,1-2 DAYS,0,0,Y,CONTINGENCY,CONTINGENCY,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,1,25,23,5,64,45,Y,Y,3,50,33,0,Y,N,Y,N,555.56,111.11,20,0,0,1-2 DAYS,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,6,42,29,7,108,67,Y,Y,1,10,32,0,N,N,Y,N,626.87,104.48,16.67,0,2,<1 DAY,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,8,51,24,15,128,65,Y,Y,1,61,28,0,N,N,N,N,784.62,230.77,29.41,0,0,1-2 DAYS,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,240,181,42,10,191,175,Y,Y,14,78,69,0,N,N,N,N,1034.29,57.14,5.52,0,0,1-2 DAYS,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,9,46,33,11,128,62,Y,Y,11,43,39,0,N,N,N,N,741.94,177.42,23.91,0,0,NOTEST,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,0,66,63,22,109,67,Y,Y,70,126,46,0,N,N,Y,Y,985.07,328.36,33.33,0,0,NOTEST,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,163,257,88,14,222,197,Y,Y,10,88,132,0,N,N,N,N,1304.57,71.07,5.45,0,0,1-2 DAYS,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,0,77,34,12,109,66,Y,Y,127,170,46,0,N,N,N,N,1166.67,181.82,15.58,0,0,NOTEST,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,85,44,46,25,102,43,Y,Y,0,0,89,0,N,N,N,N,1023.26,581.4,56.82,0,0,1-2 DAYS,1,1,Y,CONTINGENCY,CONVENTIONAL,CONVENTIONAL,CONTINGENCY,CONVENTIONAL,
