Submitted Data,Passed Quality Assurance Check,Residents Total Admissions COVID-19,Residents Total Confirmed COVID-19,Residents Total All Deaths,Residents Total COVID-19 Deaths,Number of All Beds,Total Number of Occupied Beds,Able to Test or Obtain Resources to Test All Current Residents Within Next 7 Days,Able to Test or Obtain Resources to Test All Staff and/or Personnel Within Next 7 Days,COVID-19 Point-of-Care Tests Performed on Residents Since Last Report,COVID-19 Point-of-Care Tests Performed on Staff and/or Personnel Since Last Report,Staff Total Confirmed COVID-19,Staff Total COVID-19 Deaths,Shortage of Nursing Staff,Shortage of Clinical Staff,Shortage of Aides,Shortage of Other Staff,"Total Resident Confirmed COVID-19 Cases Per 1,000 Residents","Total Resident COVID-19 Deaths Per 1,000 Residents",Total Residents COVID-19 Deaths as a Percentage of Confirmed COVID-19 Cases,Number of Residents with New Influenza,Number of Residents with Acute Respiratory Illness Symptoms Excluding COVID-19 and/or Influenza,During Past Two Weeks Average Time to Receive COVID-19 Test Results from Non-Point-of-Care Tests,Number of Staff and/or Personnel with a New Positive COVID-19 Test Result,Number of Staff and/or Personnel with Acute Respiratory Illness Symptoms Excluding COVID-19 and/or Influenza,Alcohol-Based Hand Rub (ABHR) Available,N95 Respirator Strategy for Optimization,Face Masks Strategy for Optimization,Eye Protection Strategy for Optimization,Gowns Strategy for Optimization,Gloves Strategy for Optimization,
Y,Y,0,1,38,0,113,94,Y,Y,0,150,4,0,N,N,N,N,10.64,0,0,0,0,NOTEST,0,0,Y,CONTINGENCY,CONTINGENCY,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,0,0,18,0,53,44,Y,Y,3,0,0,0,N,N,N,N,0,0,NA,0,0,<1 DAY,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,0,0,19,0,84,54,Y,Y,55,99,1,0,N,N,N,N,0,0,NA,0,0,NOTEST,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,0,0,20,0,41,38,Y,Y,2,8,3,0,N,N,N,N,0,0,NA,0,0,NOTEST,0,2,Y,CRISIS,CONVENTIONAL,CONTINGENCY,CONVENTIONAL,CONVENTIONAL,
Y,Y,1,2,17,0,119,82,Y,Y,82,218,6,0,N,N,N,N,24.39,0,0,0,1,1-2 DAYS,0,2,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,0,1,0,0,100,70,Y,Y,15,0,4,0,N,N,N,N,14.29,0,0,0,0,1-2 DAYS,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,0,0,42,0,49,41,Y,Y,0,2,2,0,N,N,N,N,0,0,NA,0,0,<1 DAY,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,0,2,0,0,42,30,Y,Y,0,5,2,0,N,N,N,N,66.67,0,0,0,0,1-2 DAYS,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,0,1,7,0,28,23,Y,Y,0,22,8,0,N,N,N,N,43.48,0,0,0,0,<1 DAY,0,0,Y,CONVENTIONAL,CONTINGENCY,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,0,0,4,0,38,16,Y,Y,0,0,5,0,N,N,N,N,0,0,NA,0,0,<1 DAY,0,0,Y,CONTINGENCY,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,4,1,11,0,53,37,Y,Y,37,80,14,0,N,N,N,N,27.03,0,0,0,0,1-2 DAYS,2,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,5,32,9,3,76,43,Y,Y,1,8,34,0,N,N,N,N,744.19,69.77,9.38,0,0,1-2 DAYS,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,0,32,14,10,88,73,Y,Y,3,45,54,0,N,N,N,N,438.36,136.99,31.25,0,0,3-7 DAYS,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,8,58,10,10,63,60,Y,Y,0,68,67,0,Y,N,Y,Y,966.67,166.67,17.24,0,0,NOTEST,1,0,Y,CONVENTIONAL,CONVENTIONAL,CONTINGENCY,CONVENTIONAL,CONVENTIONAL,
Y,Y,0,3,9,0,80,37,Y,Y,0,39,13,0,N,N,N,N,81.08,0,0,0,0,NOTEST,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,1,26,41,8,113,49,Y,Y,0,25,24,0,N,N,N,N,530.61,163.27,30.77,0,0,NOTEST,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,9,25,13,2,100,65,NA,NA,NA,NA,37,0,N,N,N,N,384.62,30.77,8,NA,NA,NA,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,5,44,20,8,74,45,Y,Y,45,49,41,0,N,N,N,N,977.78,177.78,18.18,0,0,<1 DAY,1,0,N,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,2,2,12,0,92,63,Y,Y,NA,NA,4,0,N,N,N,N,31.75,0,0,0,0,3-7 DAYS,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,0,45,30,8,153,55,Y,Y,0,37,30,0,Y,N,Y,N,818.18,145.45,17.78,0,0,NOTEST,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,1,65,22,11,100,44,Y,Y,43,80,123,1,N,N,N,N,1477.27,250,16.92,0,0,3-7 DAYS,1,0,Y,CONTINGENCY,CONTINGENCY,CONTINGENCY,CONTINGENCY,CONTINGENCY,
Y,Y,7,22,9,2,48,39,Y,Y,2,12,17,0,N,N,N,N,564.1,51.28,9.09,0,0,NOTEST,0,0,Y,CONTINGENCY,CONTINGENCY,CONTINGENCY,CONVENTIONAL,CONVENTIONAL,
Y,Y,23,67,15,11,103,61,Y,Y,5,80,55,0,N,N,N,N,1098.36,180.33,16.42,0,0,1-2 DAYS,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,2,43,0,0,117,62,Y,Y,0,31,29,0,N,N,N,N,693.55,0,0,0,0,1-2 DAYS,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,10,53,20,13,80,48,Y,Y,2,31,32,0,Y,N,Y,Y,1104.17,270.83,24.53,0,0,3-7 DAYS,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,1,1,8,0,73,59,Y,Y,1,24,18,0,N,N,N,N,16.95,0,0,0,1,1-2 DAYS,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,0,29,16,8,36,32,Y,Y,NA,NA,25,0,Y,N,Y,Y,906.25,250,27.59,0,0,<1 DAY,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,0,3,11,0,50,39,Y,Y,1,26,21,0,N,N,N,N,76.92,0,0,0,0,NOTEST,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,3,26,13,2,35,33,Y,Y,NA,NA,41,0,N,N,Y,N,787.88,60.61,7.69,0,0,NOTEST,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
N,NA,0,16,7,4,30,0,NA,NA,NA,NA,17,0,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y,Y,0,2,2,0,NA,NA,NA,NA,NA,NA,5,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,1,25,24,7,38,27,Y,Y,0,5,25,0,N,N,N,N,925.93,259.26,28,0,0,NOTEST,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,1,61,23,8,68,62,Y,Y,1,66,34,0,Y,N,Y,N,983.87,129.03,13.11,0,0,3-7 DAYS,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,0,2,6,0,21,16,Y,Y,NA,NA,24,0,N,N,N,N,125,0,0,0,0,NOTEST,0,0,Y,CONTINGENCY,CONTINGENCY,CONTINGENCY,CONTINGENCY,CONVENTIONAL,
Y,Y,0,1,19,0,62,44,Y,Y,6,49,8,0,N,N,N,N,22.73,0,0,0,1,1-2 DAYS,0,0,Y,CONVENTIONAL,CONTINGENCY,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,0,27,13,3,86,63,Y,Y,0,8,41,0,N,N,N,N,428.57,47.62,11.11,0,0,1-2 DAYS,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,2,17,9,5,32,32,Y,Y,2,7,25,0,N,N,N,N,531.25,156.25,29.41,0,0,<1 DAY,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,0,1,9,0,36,28,Y,Y,0,0,13,0,N,N,N,N,35.71,0,0,0,0,1-2 DAYS,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,0,5,17,0,74,58,Y,Y,0,52,12,0,Y,N,Y,N,86.21,0,0,0,0,1-2 DAYS,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,40,81,12,8,112,106,Y,Y,4,59,68,0,N,N,N,N,764.15,75.47,9.88,0,1,1-2 DAYS,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,23,35,23,3,88,48,Y,Y,NA,NA,25,0,N,N,N,N,729.17,62.5,8.57,0,0,NOTEST,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,58,0,16,3,NA,NA,NA,NA,NA,NA,14,0,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,2,33,25,8,56,28,Y,Y,0,39,22,0,N,N,N,N,1178.57,285.71,24.24,0,1,<1 DAY,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,48,53,4,1,68,48,Y,Y,NA,NA,49,0,Y,N,Y,N,1104.17,20.83,1.89,0,0,<1 DAY,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,0,17,1,1,44,21,Y,Y,2,2,21,0,N,N,N,N,809.52,47.62,5.88,0,0,1-2 DAYS,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,0,23,12,3,57,37,Y,Y,NA,NA,21,0,Y,N,Y,N,621.62,81.08,13.04,0,0,NOTEST,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,1,47,22,10,58,45,Y,Y,3,13,43,0,N,N,N,N,1044.44,222.22,21.28,0,1,<1 DAY,3,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,0,1,4,0,45,38,Y,Y,NA,NA,14,0,N,N,N,N,26.32,0,0,0,0,NOTEST,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,8,26,14,1,98,69,Y,Y,7,11,19,0,Y,N,Y,N,376.81,14.49,3.85,0,0,3-7 DAYS,0,0,Y,CONTINGENCY,CONTINGENCY,CONTINGENCY,CONTINGENCY,CONVENTIONAL,
Y,Y,2,55,37,7,83,66,Y,Y,6,25,62,0,N,N,N,Y,833.33,106.06,12.73,0,1,NOTEST,0,0,Y,CONTINGENCY,CONTINGENCY,CONTINGENCY,CONVENTIONAL,CONVENTIONAL,
Y,Y,0,27,7,2,113,25,Y,Y,0,13,27,0,N,N,N,N,1080,80,7.41,0,0,NOTEST,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,0,40,3,1,70,46,Y,Y,0,25,13,0,N,N,N,N,869.57,21.74,2.5,0,0,1-2 DAYS,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,9,51,26,5,80,58,Y,Y,0,20,52,0,Y,N,Y,N,879.31,86.21,9.8,0,0,1-2 DAYS,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,0,15,11,4,40,26,Y,Y,0,20,25,0,Y,N,Y,N,576.92,153.85,26.67,0,0,<1 DAY,0,0,Y,CONTINGENCY,CONTINGENCY,CONTINGENCY,CONTINGENCY,CONTINGENCY,
Y,Y,0,1,7,0,38,27,Y,Y,0,25,12,0,Y,N,Y,Y,37.04,0,0,0,0,<1 DAY,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,77,52,23,7,120,68,Y,Y,NA,NA,40,4,N,N,N,N,764.71,102.94,13.46,0,0,1-2 DAYS,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,2,6,18,0,43,29,Y,Y,0,38,25,0,N,N,N,N,206.9,0,0,0,0,1-2 DAYS,0,0,Y,CONTINGENCY,CONTINGENCY,CONTINGENCY,CONVENTIONAL,CONVENTIONAL,
Y,Y,5,39,6,3,127,55,Y,Y,2,0,45,0,N,N,N,N,709.09,54.55,7.69,0,0,<1 DAY,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
N,NA,0,1,14,0,116,46,NA,NA,NA,NA,25,0,NA,NA,NA,NA,21.74,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y,Y,0,1,14,0,116,47,Y,Y,6,96,27,0,N,N,N,N,21.28,0,0,0,0,3-7 DAYS,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,3,18,2,1,66,60,Y,Y,6,58,38,0,N,N,N,N,300,16.67,5.56,0,0,NOTEST,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,0,0,4,0,42,35,Y,Y,0,0,17,0,N,N,N,N,0,0,NA,0,0,1-2 DAYS,0,0,Y,CONTINGENCY,CONTINGENCY,CONVENTIONAL,CONTINGENCY,CONVENTIONAL,
Y,Y,0,30,24,12,116,36,Y,Y,1,2,25,0,N,N,N,N,833.33,333.33,40,0,1,1-2 DAYS,0,0,Y,CONTINGENCY,CONTINGENCY,CONTINGENCY,CONVENTIONAL,CONVENTIONAL,
Y,Y,3,2,3,0,19,9,Y,Y,0,0,35,0,N,N,N,N,222.22,0,0,0,0,<1 DAY,0,0,Y,CONTINGENCY,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,0,0,12,0,63,49,Y,Y,1,4,5,0,N,N,N,N,0,0,NA,0,0,1-2 DAYS,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,3,27,3,3,120,71,Y,Y,194,136,31,0,N,N,N,N,380.28,42.25,11.11,0,0,<1 DAY,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,0,57,29,11,103,87,Y,Y,1,28,49,0,N,N,N,N,655.17,126.44,19.3,0,0,1-2 DAYS,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,5,33,34,5,139,101,Y,Y,12,5,39,0,N,N,N,N,326.73,49.5,15.15,0,0,1-2 DAYS,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,0,15,19,4,98,67,Y,Y,0,11,26,0,N,N,N,N,223.88,59.7,26.67,0,0,NOTEST,0,3,Y,CONTINGENCY,CONTINGENCY,CONTINGENCY,CONVENTIONAL,CONVENTIONAL,
Y,Y,4,19,10,3,97,61,Y,Y,0,35,19,0,N,N,N,N,311.48,49.18,15.79,0,0,NOTEST,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,0,0,7,0,46,29,Y,Y,0,2,8,0,Y,N,Y,Y,0,0,NA,0,0,3-7 DAYS,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,16,17,14,1,30,28,Y,Y,4,11,21,0,N,N,N,N,607.14,35.71,5.88,0,0,NOTEST,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,16,54,42,10,122,74,Y,Y,1,0,61,0,N,N,N,N,729.73,135.14,18.52,0,0,1-2 DAYS,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,1,0,12,0,66,42,Y,Y,0,57,25,0,Y,Y,Y,Y,0,0,NA,0,0,1-2 DAYS,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,0,8,25,0,66,46,Y,Y,0,5,18,0,N,N,N,N,173.91,0,0,0,0,1-2 DAYS,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,10,23,6,3,43,30,Y,Y,0,2,16,0,N,N,N,N,766.67,100,13.04,0,0,1-2 DAYS,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,1,6,12,1,114,69,Y,Y,62,109,24,0,N,N,N,N,86.96,14.49,16.67,0,0,1-2 DAYS,0,1,Y,CONTINGENCY,CONTINGENCY,CONTINGENCY,CONTINGENCY,CONTINGENCY,
Y,Y,0,1,24,0,41,38,Y,Y,4,5,17,0,N,N,N,N,26.32,0,0,0,0,1-2 DAYS,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,19,12,0,0,30,23,Y,Y,0,15,16,0,N,N,N,N,521.74,0,0,0,0,NOTEST,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,1,5,12,0,88,45,Y,Y,0,15,28,0,N,N,N,N,111.11,0,0,0,0,3-7 DAYS,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,0,3,1,1,30,25,Y,Y,NA,NA,16,0,N,N,N,N,120,40,33.33,0,0,1-2 DAYS,0,0,Y,CONTINGENCY,CONTINGENCY,CONTINGENCY,CONTINGENCY,CONTINGENCY,
Y,Y,0,0,0,0,35,28,Y,Y,0,24,11,0,N,N,N,N,0,0,NA,0,0,<1 DAY,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,2,3,17,1,48,23,Y,Y,0,35,26,0,N,N,N,N,130.43,43.48,33.33,0,0,1-2 DAYS,0,0,Y,CONTINGENCY,CONTINGENCY,CONTINGENCY,CONTINGENCY,CONTINGENCY,
Y,Y,41,24,13,3,34,34,Y,Y,9,57,21,0,N,N,N,N,705.88,88.24,12.5,0,0,NOTEST,0,0,Y,CONTINGENCY,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,0,6,7,0,60,49,Y,Y,0,6,26,0,N,N,N,N,122.45,0,0,0,0,1-2 DAYS,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,80,67,23,7,99,82,Y,Y,4,9,62,0,Y,N,Y,Y,817.07,85.37,10.45,0,0,1-2 DAYS,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,5,16,9,1,34,28,Y,Y,8,15,15,0,N,N,N,N,571.43,35.71,6.25,0,0,1-2 DAYS,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,0,27,27,1,99,67,Y,Y,3,10,30,0,N,N,N,N,402.99,14.93,3.7,0,0,1-2 DAYS,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,10,0,15,0,52,32,Y,Y,2,11,9,0,Y,N,Y,N,0,0,NA,0,2,NOTEST,0,1,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,3,60,38,12,122,90,Y,Y,179,76,29,0,Y,N,Y,N,666.67,133.33,20,0,0,1-2 DAYS,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,0,53,46,8,88,68,Y,Y,5,0,36,0,N,N,N,N,779.41,117.65,15.09,0,0,1-2 DAYS,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,10,96,61,19,156,131,Y,Y,0,32,76,1,N,N,N,N,732.82,145.04,19.79,0,0,1-2 DAYS,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,17,47,31,10,72,55,Y,Y,1,1,30,0,N,N,N,N,854.55,181.82,21.28,0,0,1-2 DAYS,0,0,Y,CONVENTIONAL,CONTINGENCY,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,8,64,38,18,124,93,Y,Y,0,0,35,0,N,N,N,N,688.17,193.55,28.13,0,0,1-2 DAYS,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,2,46,12,12,84,57,Y,Y,59,33,36,0,N,N,N,N,807.02,210.53,26.09,0,0,<1 DAY,1,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,5,3,32,0,88,57,Y,Y,6,110,20,0,N,N,N,N,52.63,0,0,0,0,NOTEST,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,14,33,20,12,80,47,Y,Y,0,134,25,1,N,N,N,N,702.13,255.32,36.36,0,0,<1 DAY,0,0,Y,CONTINGENCY,CONTINGENCY,CONTINGENCY,CONTINGENCY,CONVENTIONAL,
Y,Y,5,11,52,3,125,91,Y,Y,0,56,36,0,N,N,N,N,120.88,32.97,27.27,0,0,NOTEST,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,7,12,27,5,105,47,Y,Y,0,0,28,0,N,N,N,N,255.32,106.38,41.67,0,0,1-2 DAYS,0,0,Y,CONVENTIONAL,CONTINGENCY,CONTINGENCY,CONVENTIONAL,CONVENTIONAL,
Y,Y,14,85,74,18,149,93,Y,Y,1,44,56,0,N,N,N,N,913.98,193.55,21.18,0,0,<1 DAY,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,102,98,44,20,154,76,Y,Y,0,0,73,0,N,N,N,N,1289.47,263.16,20.41,0,0,1-2 DAYS,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,34,57,16,8,108,80,Y,Y,0,0,35,0,Y,N,Y,N,712.5,100,14.04,0,0,3-7 DAYS,0,0,N,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,189,35,45,12,144,99,Y,Y,0,0,44,0,N,N,N,N,353.54,121.21,34.29,0,0,3-7 DAYS,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,16,58,62,0,107,95,Y,Y,13,5,43,0,N,N,N,N,610.53,0,0,0,0,1-2 DAYS,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,1,56,39,11,127,67,Y,Y,134,251,58,0,N,N,N,N,835.82,164.18,19.64,0,0,NOTEST,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,11,72,9,7,115,73,Y,Y,0,2,38,0,N,N,N,N,986.3,95.89,9.72,0,0,1-2 DAYS,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,19,96,79,8,368,238,Y,Y,0,3,100,1,N,N,N,N,403.36,33.61,8.33,0,5,1-2 DAYS,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,2,61,30,17,106,66,Y,Y,70,182,47,0,N,N,N,N,924.24,257.58,27.87,0,0,1-2 DAYS,1,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,0,6,20,1,130,69,Y,Y,74,150,52,0,N,N,N,N,86.96,14.49,16.67,0,0,NOTEST,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CRISIS,
Y,Y,27,68,29,21,145,114,N,N,NA,NA,38,0,N,N,N,N,596.49,184.21,30.88,0,0,3-7 DAYS,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,85,40,41,8,192,107,Y,Y,90,86,32,0,N,N,N,N,373.83,74.77,20,0,0,3-7 DAYS,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
