SD,PQA,RTA,NB,OB,CTR,CTS,TR,TS,STC,STD,SN,SC,SA,SO,RCR,RDR,NRNI,NRAR,ATT,NSRA,ABHR,N95RS,FMS,EPS,GS,GLS
Y,Y,9,103,76,Y,Y,1,39,53,0,N,N,N,N,552.63,13.16,0,0,<1 DAY,0,Y,CONTINGENCY,CONTINGENCY,CONTINGENCY,CONVENTIONAL,CONVENTIONAL
Y,Y,1,50,37,Y,Y,0,67,38,0,Y,N,Y,N,918.92,108.11,0,0,NOTEST,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,42,208,192,Y,Y,5,0,33,0,N,N,N,N,166.67,20.83,0,0,NOTEST,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,3,216,140,Y,Y,0,65,94,0,N,N,N,N,721.43,278.57,0,0,<1 DAY,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,29,260,190,Y,Y,214,117,117,0,N,N,N,N,605.26,73.68,0,0,3-7 DAYS,0,Y,CONTINGENCY,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,6,111,86,Y,Y,0,83,38,0,N,N,N,N,616.28,93.02,0,0,NOTEST,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,43,103,83,Y,Y,75,69,75,0,Y,N,Y,N,987.95,313.25,0,0,<1 DAY,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,3,61,53,Y,Y,2,26,29,0,N,N,Y,N,867.92,113.21,0,0,1-2 DAYS,0,Y,CONTINGENCY,CONVENTIONAL,CONTINGENCY,CONVENTIONAL,CONVENTIONAL
Y,Y,43,190,158,Y,Y,NA,NA,58,0,N,N,N,N,702.53,113.92,0,0,<1 DAY,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,0,78,69,Y,Y,0,2,61,1,N,N,N,N,739.13,28.99,0,0,1-2 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,4,119,63,Y,Y,0,63,56,1,Y,N,Y,N,793.65,285.71,0,0,<1 DAY,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,19,148,130,Y,Y,5,117,20,1,N,N,N,N,76.92,38.46,0,2,<1 DAY,0,Y,CRISIS,CRISIS,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,0,50,43,Y,Y,124,112,39,0,N,N,N,N,837.21,116.28,0,0,1-2 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,9,164,120,Y,Y,126,85,54,0,N,N,N,N,875,175,0,0,1-2 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
