SD,PQA,RTA,NB,OB,CTR,CTS,TR,TS,STC,STD,SN,SC,SA,SO,RCR,RDR,NRNI,NRAR,ATT,NSRA,ABHR,N95RS,FMS,EPS,GS,GLS
Y,Y,0,32,21,Y,Y,0,20,12,0,N,N,N,N,761.9,285.71,0,0,NOTEST,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,3,65,42,Y,Y,2,75,38,0,N,N,N,N,547.62,95.24,0,0,1-2 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,2,93,64,Y,Y,0,64,14,0,Y,N,Y,Y,515.63,31.25,0,0,<1 DAY,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,19,64,35,Y,Y,0,23,7,0,Y,N,Y,Y,171.43,257.14,0,0,<1 DAY,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,0,60,57,Y,Y,NA,NA,27,0,Y,N,Y,Y,964.91,35.09,0,0,3-7 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,1,64,45,Y,Y,89,75,22,0,N,N,N,N,311.11,44.44,0,1,<1 DAY,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,0,45,41,Y,Y,0,45,4,0,N,N,Y,Y,0,0,0,0,NOTEST,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,0,55,48,Y,Y,0,30,46,0,Y,N,N,Y,770.83,166.67,0,0,<1 DAY,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,2,54,43,Y,Y,NA,NA,15,0,N,N,N,N,651.16,139.53,0,0,NOTEST,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,0,50,44,Y,Y,0,12,10,0,N,N,N,N,0,0,0,1,NOTEST,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,18,96,71,Y,Y,0,0,52,0,N,N,N,N,408.45,84.51,0,0,1-2 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,46,110,61,Y,Y,64,105,41,0,N,N,N,N,1032.79,98.36,0,0,1-2 DAYS,0,Y,CRISIS,CONVENTIONAL,CONTINGENCY,CRISIS,CONVENTIONAL
Y,Y,1,60,49,Y,Y,13,75,26,0,N,N,N,N,81.63,61.22,0,0,<1 DAY,0,Y,CONTINGENCY,CONTINGENCY,CONTINGENCY,CONTINGENCY,CONTINGENCY
Y,Y,0,50,39,Y,Y,2,3,25,0,N,N,N,N,923.08,51.28,0,0,1-2 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,1,60,34,Y,Y,NA,NA,16,0,N,N,N,N,735.29,88.24,0,0,NOTEST,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,0,43,24,Y,Y,NA,NA,18,0,N,N,N,N,1250,250,0,0,<1 DAY,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,1,49,42,Y,Y,1,20,21,0,N,N,N,N,785.71,23.81,0,0,<1 DAY,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,5,32,29,Y,Y,4,18,0,0,N,N,Y,N,0,0,0,0,1-2 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,0,40,30,Y,Y,0,15,3,0,N,N,N,N,0,0,0,0,NOTEST,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,0,40,32,Y,Y,0,20,22,0,N,N,N,N,1031.25,187.5,0,0,1-2 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,3,59,40,Y,Y,0,45,20,0,Y,N,Y,N,600,125,0,0,NOTEST,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,38,92,58,Y,Y,0,0,45,0,Y,N,Y,N,620.69,155.17,0,0,1-2 DAYS,0,Y,CONVENTIONAL,CONTINGENCY,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,9,36,29,Y,Y,0,48,21,0,N,N,Y,N,896.55,275.86,0,0,NOTEST,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,0,40,26,Y,Y,0,29,33,0,N,N,N,N,923.08,423.08,0,0,NOTEST,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,1,45,40,Y,Y,0,60,4,0,Y,N,Y,N,25,0,0,0,NOTEST,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,7,62,43,Y,Y,1,30,35,0,N,N,N,N,1162.79,255.81,0,0,NOTEST,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,0,41,21,Y,Y,1,15,47,0,Y,N,N,N,1142.86,190.48,0,0,NOTEST,0,Y,CRISIS,CONTINGENCY,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,3,43,33,Y,Y,NA,NA,19,0,N,N,N,N,636.36,242.42,0,0,NOTEST,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,8,45,23,Y,Y,0,0,26,0,Y,N,Y,N,1304.35,217.39,0,0,3-7 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,31,34,23,Y,Y,12,2,31,0,N,N,N,N,1000,173.91,0,0,1-2 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,2,34,26,Y,Y,NA,NA,25,0,N,N,Y,N,1192.31,230.77,0,0,<1 DAY,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,17,52,43,Y,Y,NA,NA,12,0,N,N,N,N,46.51,0,0,0,3-7 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,11,36,29,Y,Y,0,2,9,0,N,N,Y,N,344.83,275.86,0,0,NOTEST,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,0,96,77,Y,Y,0,0,88,0,Y,N,Y,Y,701.3,181.82,0,0,1-2 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,7,45,22,Y,Y,0,10,11,0,N,N,N,N,454.55,181.82,0,0,<1 DAY,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,3,30,24,Y,Y,1,32,14,0,Y,N,Y,Y,333.33,83.33,0,0,<1 DAY,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,1,72,65,Y,Y,NA,NA,47,0,N,N,N,N,292.31,46.15,0,0,<1 DAY,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,1,74,52,Y,Y,53,63,20,0,Y,N,Y,N,769.23,192.31,0,0,NOTEST,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,4,46,31,Y,Y,0,0,60,0,N,N,N,N,677.42,193.55,0,0,1-2 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,9,45,29,Y,Y,0,26,13,0,Y,N,Y,N,0,0,0,0,<1 DAY,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,0,40,30,Y,Y,NA,NA,15,0,N,N,N,N,66.67,0,0,0,<1 DAY,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,7,68,40,Y,Y,0,64,52,0,N,N,N,N,50,575,0,0,NOTEST,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,3,100,86,Y,Y,1,178,37,0,N,N,N,N,186.05,34.88,0,1,NOTEST,0,Y,CRISIS,CRISIS,CRISIS,CRISIS,CRISIS
Y,Y,11,67,43,Y,Y,0,52,8,0,N,N,N,N,23.26,23.26,0,0,3-7 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,3,36,25,Y,Y,0,7,22,0,Y,Y,Y,Y,640,80,0,0,1-2 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,4,43,20,Y,Y,2,32,13,0,N,N,Y,N,1200,500,0,0,NOTEST,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,11,56,32,Y,Y,0,124,34,0,Y,N,Y,Y,1843.75,218.75,0,0,NOTEST,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,28,74,64,Y,Y,10,3,45,0,Y,N,Y,N,296.88,140.63,0,0,1-2 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,4,97,71,Y,Y,2,87,24,0,N,N,N,N,169.01,0,0,0,NOTEST,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,70,94,62,Y,Y,0,0,38,0,N,N,N,N,225.81,129.03,0,0,<1 DAY,0,Y,CONTINGENCY,CONVENTIONAL,CONTINGENCY,CONTINGENCY,CONVENTIONAL
Y,Y,1,76,63,N,N,0,76,35,0,Y,Y,Y,Y,365.08,15.87,0,0,3-7 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,1,54,45,Y,Y,0,7,53,0,N,N,N,N,288.89,111.11,0,0,1-2 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,2,62,50,Y,Y,0,1,24,0,N,N,N,N,140,40,0,0,NOTEST,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,6,24,20,Y,Y,NA,NA,9,0,N,N,N,N,250,0,0,0,<1 DAY,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,3,65,45,Y,Y,NA,NA,39,0,N,N,N,N,911.11,333.33,0,0,<1 DAY,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,0,24,14,Y,Y,NA,NA,7,0,N,N,N,N,71.43,0,0,0,NOTEST,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,30,84,59,Y,Y,0,25,44,0,N,N,N,N,593.22,67.8,0,0,1-2 DAYS,0,Y,CONTINGENCY,CONTINGENCY,CONTINGENCY,CONTINGENCY,CONTINGENCY
Y,Y,4,56,53,Y,Y,0,3,33,0,N,N,N,N,339.62,56.6,0,0,<1 DAY,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,4,30,24,Y,Y,0,1,14,0,N,N,N,N,750,250,0,0,1-2 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,5,35,30,Y,Y,0,2,10,0,N,N,N,N,133.33,33.33,0,0,1-2 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,24,54,35,Y,Y,2,74,8,0,Y,N,Y,N,1257.14,0,0,0,<1 DAY,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,0,58,43,Y,Y,11,45,25,0,Y,N,Y,Y,511.63,116.28,0,0,NOTEST,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,0,60,43,Y,Y,7,18,19,0,N,N,N,N,46.51,0,0,0,1-2 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,2,22,18,Y,Y,NA,NA,11,0,N,N,N,N,500,55.56,0,0,NOTEST,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,1,34,29,Y,Y,0,3,24,0,N,N,N,N,965.52,275.86,0,0,1-2 DAYS,0,Y,CONTINGENCY,CONTINGENCY,CONTINGENCY,CONVENTIONAL,CONVENTIONAL
Y,Y,22,79,53,Y,Y,0,0,33,0,N,N,N,N,339.62,56.6,0,0,3-7 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,19,40,35,Y,Y,1,2,25,0,N,N,N,N,314.29,28.57,0,0,<1 DAY,0,Y,CONTINGENCY,CONTINGENCY,CONTINGENCY,CONTINGENCY,CONVENTIONAL
Y,Y,8,44,40,Y,Y,2,5,16,0,N,N,N,N,325,75,0,0,NOTEST,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,1,38,38,Y,Y,0,21,14,0,N,N,N,N,210.53,26.32,0,0,1-2 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,1,36,18,Y,Y,0,43,26,0,Y,N,N,N,944.44,222.22,0,0,1-2 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,250,96,82,Y,Y,0,82,29,0,N,N,N,N,304.88,109.76,0,0,1-2 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,2,45,42,Y,Y,0,27,10,0,N,N,N,N,142.86,47.62,0,0,<1 DAY,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,28,30,19,Y,Y,0,0,11,0,Y,N,Y,N,947.37,631.58,0,0,1-2 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,0,50,43,Y,Y,NA,NA,8,0,Y,N,Y,N,279.07,0,0,0,<1 DAY,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,1,70,46,Y,Y,0,60,20,0,N,N,N,N,173.91,21.74,0,0,NOTEST,0,Y,CONVENTIONAL,CONTINGENCY,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,2,45,37,Y,Y,NA,NA,15,0,N,N,N,N,702.7,189.19,0,0,1-2 DAYS,0,Y,CONTINGENCY,CONVENTIONAL,CONTINGENCY,CONVENTIONAL,CONVENTIONAL
Y,Y,92,101,82,Y,Y,0,25,16,0,N,N,N,N,121.95,12.2,0,0,NOTEST,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,58,70,49,Y,Y,0,10,33,0,N,N,N,N,897.96,61.22,0,0,NOTEST,0,N,CONTINGENCY,CONTINGENCY,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,5,52,40,Y,Y,NA,NA,13,0,Y,N,Y,N,150,25,0,0,NOTEST,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,2,78,70,Y,Y,1,34,73,0,Y,Y,N,Y,928.57,57.14,0,0,NOTEST,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,15,60,47,Y,Y,48,88,41,0,N,N,N,N,723.4,127.66,0,0,<1 DAY,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,3,70,61,Y,Y,59,124,27,0,N,N,N,N,360.66,49.18,0,0,1-2 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,0,140,103,Y,Y,0,0,43,0,N,N,N,N,951.46,19.42,0,0,1-2 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,3,70,54,Y,N,NA,NA,32,0,N,N,N,N,407.41,0,0,0,NOTEST,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,1,60,34,Y,Y,0,36,35,0,Y,N,Y,N,441.18,29.41,0,0,3-7 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,1,40,33,Y,Y,0,0,8,0,N,N,N,N,212.12,0,0,0,1-2 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONTINGENCY,CONVENTIONAL,CONVENTIONAL
Y,Y,8,24,15,Y,Y,0,0,14,0,Y,N,Y,N,333.33,0,0,0,<1 DAY,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,2,60,46,Y,Y,0,76,37,0,N,N,N,N,130.43,65.22,0,0,1-2 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,5,70,22,Y,Y,0,27,21,0,Y,N,Y,N,181.82,0,0,0,<1 DAY,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,9,80,48,Y,Y,16,52,18,0,N,N,N,N,145.83,41.67,0,0,NOTEST,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,0,22,22,Y,Y,0,2,9,0,N,N,N,N,90.91,0,0,0,NOTEST,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,0,30,25,Y,Y,0,6,12,0,N,N,N,N,240,80,0,0,NOTEST,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,1,37,34,Y,Y,0,0,12,0,N,N,N,N,235.29,58.82,0,0,1-2 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,1,32,24,Y,Y,30,68,9,0,Y,N,Y,Y,375,0,0,0,1-2 DAYS,0,Y,CONTINGENCY,CONVENTIONAL,CONTINGENCY,CONTINGENCY,CONVENTIONAL
Y,Y,1,28,24,Y,Y,0,4,39,0,N,N,N,N,875,83.33,0,0,3-7 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,3,45,33,Y,Y,1,31,10,0,Y,N,Y,Y,0,0,0,0,<1 DAY,0,Y,CONTINGENCY,CONVENTIONAL,CONTINGENCY,CONVENTIONAL,CONVENTIONAL
Y,Y,0,45,33,Y,Y,0,22,14,0,Y,Y,N,N,727.27,90.91,0,0,NOTEST,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,2,45,43,Y,Y,0,2,13,0,Y,N,Y,N,930.23,0,0,0,NOTEST,1,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,0,32,28,Y,Y,NA,NA,11,0,N,N,N,N,0,0,0,0,1-2 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,5,42,32,Y,Y,0,9,30,0,N,N,N,N,1062.5,500,0,0,<1 DAY,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,9,37,24,Y,Y,NA,NA,21,0,N,N,Y,N,541.67,166.67,0,0,>7 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,8,45,42,Y,Y,0,28,0,0,N,N,N,N,23.81,0,0,0,<1 DAY,0,Y,CONTINGENCY,CONVENTIONAL,CONTINGENCY,CONTINGENCY,CONVENTIONAL
Y,Y,4,39,24,Y,Y,NA,NA,20,0,Y,N,Y,Y,708.33,41.67,0,0,NOTEST,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,1,34,33,Y,Y,1,20,0,0,N,N,N,N,0,0,0,0,NOTEST,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,6,38,32,Y,Y,0,19,35,0,Y,N,Y,Y,1000,93.75,0,0,1-2 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,9,44,39,Y,Y,0,1,40,0,N,N,N,N,897.44,153.85,0,0,<1 DAY,0,Y,CONTINGENCY,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,1,32,23,Y,Y,0,10,27,0,N,N,N,N,1043.48,130.43,0,0,1-2 DAYS,0,Y,CONTINGENCY,CONTINGENCY,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,0,25,23,Y,Y,NA,NA,22,0,N,N,N,N,478.26,43.48,0,0,NOTEST,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,5,36,33,Y,Y,NA,NA,19,0,N,N,Y,Y,545.45,30.3,0,0,<1 DAY,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,5,36,25,Y,Y,2,7,26,0,N,N,N,N,1080,160,0,2,1-2 DAYS,1,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,2,30,19,Y,Y,0,0,12,0,N,N,Y,Y,0,0,0,1,NOTEST,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,5,28,22,Y,Y,NA,NA,16,0,N,N,N,N,590.91,136.36,0,0,1-2 DAYS,0,Y,CONVENTIONAL,CONTINGENCY,CONTINGENCY,CONVENTIONAL,CONVENTIONAL
Y,Y,5,102,96,Y,Y,2,20,41,0,N,N,N,N,916.67,52.08,0,0,NOTEST,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,0,40,29,Y,Y,NA,NA,35,0,N,N,N,N,586.21,241.38,0,1,NOTEST,0,Y,CONTINGENCY,CONTINGENCY,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,0,55,40,N,N,0,105,29,0,N,N,N,N,1225,325,0,0,1-2 DAYS,0,Y,CONTINGENCY,CONTINGENCY,CONTINGENCY,CONTINGENCY,CONTINGENCY
Y,Y,2,77,69,Y,Y,0,19,34,0,N,N,N,N,202.9,28.99,0,0,1-2 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONTINGENCY,CONVENTIONAL
Y,Y,1,30,20,Y,Y,0,0,21,0,N,N,N,N,400,150,0,0,1-2 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CRISIS
Y,Y,3,27,24,Y,Y,0,1,20,0,Y,N,Y,N,875,208.33,0,0,3-7 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONTINGENCY
Y,Y,2,44,39,Y,Y,3,9,15,0,N,N,N,N,76.92,0,0,1,1-2 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,0,60,48,Y,Y,2,3,34,0,N,N,N,N,916.67,229.17,0,0,NOTEST,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,0,40,24,Y,Y,0,23,4,0,Y,N,Y,Y,0,0,0,0,<1 DAY,0,Y,CONTINGENCY,CONVENTIONAL,CONTINGENCY,CONVENTIONAL,CONVENTIONAL
Y,Y,1,29,16,Y,Y,0,46,9,0,Y,N,Y,N,687.5,125,0,0,NOTEST,0,Y,CONVENTIONAL,CONTINGENCY,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,0,23,14,Y,Y,NA,NA,5,0,Y,N,Y,N,214.29,71.43,0,0,<1 DAY,0,Y,CONTINGENCY,CONTINGENCY,CONTINGENCY,CONVENTIONAL,CONVENTIONAL
Y,Y,3,30,20,Y,Y,0,0,36,1,N,N,N,N,1000,200,0,0,NOTEST,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,0,30,24,Y,Y,1,1,11,0,N,N,N,N,166.67,0,0,0,NOTEST,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
N,NA,0,36,29,NA,NA,NA,NA,25,0,NA,NA,NA,NA,827.59,34.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y,Y,1,50,28,Y,Y,NA,NA,28,0,N,N,Y,N,1035.71,214.29,0,0,NOTEST,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,0,160,141,Y,Y,3,171,71,0,N,N,N,N,475.18,42.55,0,0,<1 DAY,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,20,226,104,Y,Y,0,11,81,0,Y,N,Y,Y,865.38,115.38,0,0,1-2 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
